AGENTS.md	20	[COMPLETE]	Commit and push every completed iteration.
CHARTER.md	17	[CURRENT]	- Current-state compilation;
INVARIANTS.md	11	[CANONICAL]	- Filesystem artifacts are the canonical persistent substrate.
INVARIANTS.md	13	[CANONICAL]	- Operator-side databases and indexes are derived or replaceable state unless an explicit protocol promotes them to canonical Artifact status.
INVARIANTS.md	18	[CURRENT]	- **Current-State Compilation**: Current-State Compilation is a deterministic, provenance-preserving projection of current truth. It is not required t
INVARIANTS.md	46	[COMPLETE]	- Every completed iteration MUST be verified locally, committed, and pushed to the remote repository.
MEMORY_MAP.md	10	[CURRENT]	1. Current State Files (state/)               [Highest Operational Authority]
MEMORY_MAP.md	12	[CANONICAL]	2. Canonical Doctrine Documents                [Architectural Authority]
MEMORY_MAP.md	18	[HISTORICAL]	5. Raw Evidence & Execution Logs               [Historical Provenance]
MEMORY_MAP.md	20	[HISTORICAL]	6. Historical Synthesis Documents              [Derived Background]
MEMORY_MAP.md	22	[SUPERSEDED]	7. Superseded Files & Failure Archives         [Read-Only Audit Trail]
MEMORY_MAP.md	35	[CANONICAL]	- [`research/synthesis/FIVE_POINT_FRAMEWORK.md`](research/synthesis/FIVE_POINT_FRAMEWORK.md): **Sole Canonical Specification** of One World Substrate 
MEMORY_MAP.md	36	[CURRENT]	- [`research/synthesis/LLM_WIKI_CURRENT_KNOWLEDGE_SYSTEM.md`](research/synthesis/LLM_WIKI_CURRENT_KNOWLEDGE_SYSTEM.md): Specification for incremental 
MEMORY_MAP.md	42	[CURRENT]	### B. Current Working Memory
MEMORY_MAP.md	43	[CURRENT]	*Preserves active operational state, current phase, verdicts, and immediate next action.*
MEMORY_MAP.md	45	[CURRENT]	- [`state/CURRENT_PHASE.md`](state/CURRENT_PHASE.md): Current operational phase status.
MEMORY_MAP.md	46	[CURRENT]	- [`state/CURRENT_VERDICT.md`](state/CURRENT_VERDICT.md): Confirmed vs withheld adjudications.
MEMORY_MAP.md	54	[CURRENT]	*Compiled current truth, entity pages, topic breakdowns, and indices.*
MEMORY_MAP.md	56	[NOT YET]	> ⚠️ **STATUS**: **STRUCTURAL PLACEHOLDER / NOT YET IMPLEMENTED**
MEMORY_MAP.md	61	[HISTORICAL]	### D. Episodic & Historical Memory
MEMORY_MAP.md	62	[HISTORICAL]	*Raw evidence, historical runs, migration proofs, audit logs, and examination records.*
MEMORY_MAP.md	66	[HISTORICAL]	- [`research/examinations/`](research/examinations/): Historical citation examination reports and raw evidence snapshots.
MEMORY_MAP.md	92	[CURRENT]	- **Decision Lineage**: Recorded in [`handoff/SESSION_LOG.md`](handoff/SESSION_LOG.md) and [`state/CURRENT_VERDICT.md`](state/CURRENT_VERDICT.md).
REVOLUTION.md	24	[CURRENT]	World --> Layer2["Layer 2: LLM Wiki / Current Knowledge System"]
REVOLUTION.md	37	[CURRENT]	3. **LLM Wiki / Current Knowledge System**:
REVOLUTION.md	38	[CURRENT]	- Incremental compilation of raw, append-only history into a structured, hyperlinked multi-page knowledge graph (Entity pages, Topic pages, Current St
REVOLUTION.md	65	[HISTORICAL]	- History is preserved in append-only raw form; failed experiments are logged as historical evidence and rolled back cleanly.
WAKE.md	20	[CURRENT]	4. **Superseded File Ban**: Files marked `SUPERSEDED` or `HISTORICAL_FAILURE` MUST NOT be used as current rules or directives.
WAKE.md	21	[CURRENT]	5. **Raw Evidence vs. Current Knowledge**: Raw log files (`research/legacy-evidence/`) prove historical events; they are not current synthesized rules
